Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending,cluster_purchase_behavior
58,635,88,546,172,88,88,1617,1
38,11,1,6,2,1,6,27,0
26,426,49,127,111,21,42,776,2
26,11,4,20,10,3,5,53,0
94,173,43,118,46,27,15,422,0
16,520,42,98,0,42,14,716,2
34,235,65,164,50,49,27,590,2
32,76,10,56,3,1,23,169,0
19,14,0,24,3,3,2,46,0
68,28,0,6,1,1,13,49,0
11,5,5,6,0,2,1,19,0
59,6,16,11,11,1,16,61,0
82,194,61,480,225,112,30,1102,1
53,233,2,53,3,5,14,310,0
38,3,14,17,6,1,5,46,0
23,1006,22,115,59,68,45,1315,2
51,53,5,19,2,13,4,96,0
20,84,5,38,150,12,28,317,0
91,1012,80,498,0,16,176,1782,3
86,4,17,19,30,24,39,133,0
41,86,2,73,69,38,48,316,0
42,1,1,1725,1,1,1,1730,3
63,867,0,86,0,0,19,972,2
0,384,0,102,21,32,5,544,0
69,270,3,27,39,6,99,444,2
89,6,4,25,15,12,13,75,0
4,173,4,30,3,6,41,257,0
19,5,1,3,3,263,362,637,1
26,36,2,42,20,21,10,131,0
96,684,100,801,21,66,0,1672,3
34,8,4,10,2,2,4,30,0
56,112,17,44,34,22,89,318,2
31,110,0,5,2,0,3,120,0
8,96,12,96,33,22,43,302,0
4,482,34,471,119,68,22,1196,3
55,40,0,19,2,1,3,65,0
37,702,17,151,0,8,35,913,2
76,6,3,14,15,7,36,81,0
99,55,0,6,2,0,4,67,0
53,437,8,206,160,49,42,902,2
3,421,76,536,82,178,102,1395,1
88,13,1,29,3,0,7,53,0
4,9,0,6,3,1,3,22,0
80,81,11,50,3,2,39,186,0
19,3,1,10,3,2,12,31,0
72,123,164,266,227,30,174,984,1
24,3,18,14,15,22,50,122,0
92,13,6,15,3,5,13,55,0
96,48,5,48,6,10,7,124,0
39,826,50,317,50,38,38,1319,3
29,245,19,125,37,67,14,507,2
2,650,37,780,27,167,32,1693,3
54,12,6,20,30,1,3,72,0
54,510,120,550,156,40,241,1617,1
57,328,9,124,12,24,109,606,2
55,984,51,432,180,120,190,1957,1
30,295,35,482,121,120,40,1093,1
31,13,0,8,2,1,5,29,0
57,11,3,22,2,2,6,46,0
63,447,0,28,0,0,43,518,0
12,712,26,538,69,13,80,1438,3
