ID,Kidhome,Teenhome,Income,Age,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO
5524,0,0,58138.0,68,False,True,False,False,False,False,False,True,False,False,False
2174,1,1,46344.0,71,False,True,False,False,False,False,False,True,False,False,False
4141,0,0,71613.0,60,False,True,False,False,False,False,False,False,True,False,False
6182,1,0,26646.0,41,False,True,False,False,False,False,False,False,True,False,False
5324,1,0,58293.0,44,False,False,False,True,False,False,True,False,False,False,False
7446,0,1,62513.0,58,False,False,True,False,False,False,False,False,True,False,False
965,0,1,55635.0,54,False,True,False,False,False,True,False,False,False,False,False
6177,1,0,33454.0,40,False,False,False,True,False,False,True,False,False,False,False
4855,1,0,30351.0,51,False,False,False,True,False,False,False,False,True,False,False
5899,1,1,5648.0,75,False,False,False,True,False,False,False,False,True,False,False
1994,1,0,,42,False,True,False,False,False,False,True,False,False,False,False
387,0,0,7500.0,49,True,False,False,False,False,False,True,False,False,False,False
2125,0,0,63033.0,66,False,True,False,False,False,True,False,False,False,False,False
8180,1,1,59354.0,73,False,False,True,False,False,True,False,False,False,False,False
2569,0,0,17323.0,38,False,True,False,False,False,False,True,False,False,False,False
2114,0,0,82800.0,79,False,False,False,True,False,False,False,True,False,False,False
9736,1,1,41850.0,45,False,True,False,False,False,False,True,False,False,False,False
4939,0,0,37760.0,79,False,True,False,False,False,False,False,False,True,False,False
6565,0,1,76995.0,76,False,False,True,False,False,False,True,False,False,False,False
2278,1,0,33812.0,40,False,False,False,False,False,False,False,True,False,False,False
9360,0,0,37040.0,43,False,True,False,False,False,False,True,False,False,False,False
5376,1,0,2447.0,46,False,True,False,False,False,False,True,False,False,False,False
1993,0,1,58607.0,76,False,False,False,True,False,False,True,False,False,False,False
4047,0,1,65324.0,71,False,False,False,True,False,False,True,False,False,False,False
1409,0,1,40689.0,74,False,True,False,False,False,False,False,False,True,False,False
7892,0,0,18589.0,56,False,True,False,False,False,False,False,True,False,False,False
2404,1,1,53359.0,49,False,True,False,False,False,False,True,False,False,False,False
5255,1,0,,39,False,True,False,False,False,False,False,True,False,False,False
9422,1,0,38360.0,36,False,True,False,False,False,False,True,False,False,False,False
1966,0,0,84618.0,60,False,False,False,True,False,False,True,False,False,False,False
6864,0,0,10979.0,36,False,False,True,False,False,True,False,False,False,False,False
3033,0,0,38620.0,62,False,False,True,False,False,False,False,False,True,False,False
5710,0,1,40548.0,55,False,True,False,False,False,False,False,False,True,False,False
7373,0,2,46610.0,73,False,False,False,True,False,True,False,False,False,False,False
8755,0,0,68657.0,79,False,False,True,False,False,False,True,False,False,False,False
10738,1,1,49389.0,74,False,False,True,False,False,False,False,True,False,False,False
4339,0,1,67353.0,55,False,False,False,True,False,False,True,False,False,False,False
10755,1,0,23718.0,49,False,False,False,False,False,False,True,False,False,False,False
8595,0,1,42429.0,52,False,True,False,False,False,False,False,False,False,True,False
2968,0,0,48948.0,82,False,False,False,True,False,True,False,False,False,False,False
8601,0,1,80011.0,45,False,True,False,False,False,False,True,False,False,False,False
503,1,0,20559.0,40,False,False,True,False,False,False,True,False,False,False,False
8430,0,1,21994.0,68,False,True,False,False,False,False,False,False,True,False,False
7281,0,0,,66,False,False,False,True,False,False,False,True,False,False,False
2139,1,0,7500.0,50,False,False,True,False,False,False,True,False,False,False,False
1371,0,0,79941.0,49,False,True,False,False,False,False,False,True,False,False,False
9909,0,0,7500.0,29,False,False,False,False,False,False,True,False,False,False,False
7286,1,0,41728.0,57,False,True,False,False,False,False,False,False,True,False,False
7244,2,1,,74,False,True,False,False,False,False,False,True,False,False,False
6566,1,1,72550.0,71,False,False,False,True,False,False,True,False,False,False,False
8614,0,1,65486.0,68,False,True,False,False,False,False,False,False,False,True,False
4114,0,0,79143.0,61,False,False,True,False,False,False,True,False,False,False,False
1331,1,0,35790.0,48,False,True,False,False,False,False,False,True,False,False,False
2225,0,0,82582.0,48,False,True,False,False,False,True,False,False,False,False,False
9381,1,1,66373.0,47,False,True,False,False,False,False,True,False,False,False,False
6260,0,0,82384.0,70,False,False,True,False,False,False,False,False,True,False,False
10383,0,0,70287.0,59,False,True,False,False,False,True,False,False,False,False,False
7437,1,0,27938.0,37,False,True,False,False,False,False,False,True,False,False,False
8557,1,0,,43,False,True,False,False,False,False,False,True,False,False,False
8375,0,1,55954.0,57,False,False,False,True,False,False,True,False,False,False,False
6853,0,0,75777.0,43,False,False,True,False,False,False,False,True,False,False,False
3076,1,1,66653.0,50,False,True,False,False,False,False,False,False,True,False,False
1012,0,1,61823.0,73,False,True,False,False,False,False,False,True,False,False,False
6518,0,1,67680.0,74,False,False,False,True,False,False,False,False,False,True,False
4137,0,0,70666.0,77,False,True,False,False,False,False,False,False,True,False,False
8082,1,0,25721.0,54,False,True,False,False,False,False,True,False,False,False,False
1386,1,1,32474.0,58,False,True,False,False,False,False,False,False,True,False,False
9369,0,1,88194.0,46,False,False,False,False,False,False,False,True,False,False,False
4477,0,1,69096.0,67,False,True,False,False,False,False,False,False,True,False,False
1357,1,2,74854.0,55,False,True,False,False,False,False,False,False,True,False,False
1402,0,0,66991.0,71,False,False,True,False,False,False,True,False,False,False,False
10629,1,0,,52,False,False,False,False,False,False,True,False,False,False,False
6312,0,1,65031.0,66,False,True,False,False,False,False,True,False,False,False,False
8132,1,1,60631.0,50,False,False,False,True,False,False,True,False,False,False,False
1050,0,0,28332.0,73,False,True,False,False,False,False,True,False,False,False,False
5846,1,0,40246.0,48,False,True,False,False,False,True,False,False,False,False,False
1859,0,0,75251.0,53,False,False,True,False,False,False,True,False,False,False,False
7503,0,0,75825.0,49,False,True,False,False,False,False,False,True,False,False,False
10401,0,0,26326.0,49,False,False,False,False,False,False,False,False,True,False,False
1618,0,0,56046.0,60,False,True,False,False,False,False,False,False,True,False,False
3332,1,0,29760.0,40,False,True,False,False,False,False,False,True,False,False,False
2261,1,0,26304.0,56,False,True,False,False,False,False,True,False,False,False,False
5346,1,0,23559.0,52,False,False,False,False,False,False,True,False,False,False,False
4119,0,0,38620.0,62,False,False,True,False,False,False,False,False,True,False,False
535,0,0,81361.0,38,False,True,False,False,False,True,False,False,False,False,False
5268,1,1,29440.0,65,False,True,False,False,False,False,True,False,False,False,False
273,1,1,36138.0,55,False,False,True,False,False,False,True,False,False,False,False
4452,0,1,50388.0,68,False,True,False,False,False,False,False,True,False,False,False
8504,0,0,79593.0,52,False,True,False,False,False,False,True,False,False,False,False
771,0,1,54178.0,58,False,True,False,False,False,False,False,False,True,False,False
8996,2,1,,68,False,False,False,True,False,False,True,False,False,False,False
9235,1,1,,68,False,True,False,False,False,False,False,True,False,False,False
5798,0,0,,52,False,False,True,False,False,False,False,False,True,False,False
11178,1,0,42394.0,53,False,False,True,False,False,False,False,True,False,False,False
2230,1,0,23626.0,55,False,False,False,True,False,False,True,False,False,False,False
7516,1,0,30096.0,42,False,True,False,False,False,False,True,False,False,False,False
7247,0,1,47916.0,65,False,True,False,False,False,False,False,False,False,True,False
11100,1,1,51813.0,53,False,True,False,False,False,True,False,False,False,False,False
4646,0,0,78497.0,74,False,False,False,False,False,False,True,False,False,False,False
3037,0,0,50150.0,42,False,False,False,True,False,False,True,False,False,False,False
1473,0,1,47823.0,65,False,False,False,False,False,False,False,True,False,False,False
1016,0,1,34554.0,66,False,False,False,True,False,False,False,True,False,False,False
4518,0,1,85693.0,46,False,True,False,False,False,False,False,False,True,False,False
9370,0,0,65846.0,80,False,False,False,True,False,False,True,False,False,False,False
8908,0,0,87195.0,66,False,True,False,False,False,False,True,False,False,False,False
8373,1,0,24594.0,46,True,False,False,False,False,False,False,False,True,False,False
7533,1,1,49096.0,61,False,True,False,False,False,False,True,False,False,False,False
2683,0,2,52413.0,56,False,True,False,False,False,False,True,False,False,False,False
3629,1,0,38557.0,47,False,True,False,False,False,False,False,True,False,False,False
10991,0,0,89058.0,65,False,False,True,False,False,False,True,False,False,False,False
5077,0,1,77298.0,46,False,True,False,False,False,False,False,False,True,False,False
7431,0,0,68126.0,34,False,False,False,True,False,False,False,True,False,False,False
3267,0,1,57288.0,62,False,False,True,False,False,False,False,False,True,False,False
999,0,0,86037.0,34,False,True,False,False,False,False,False,True,False,False,False
9215,1,0,43974.0,45,False,False,False,True,False,False,True,False,False,False,False
2286,1,1,50785.0,63,False,True,False,False,False,False,False,True,False,False,False
1592,0,0,90765.0,55,False,True,False,False,False,False,True,False,False,False,False
367,1,0,36550.0,47,False,False,False,False,False,False,True,False,False,False,False
5234,1,1,30753.0,58,False,False,False,False,False,False,False,False,True,False,False
9862,1,0,21918.0,56,False,True,False,False,False,False,False,False,True,False,False
9805,0,1,56129.0,72,False,False,True,False,False,False,False,False,True,False,False
6205,1,0,32557.0,58,False,False,True,False,False,False,False,True,False,False,False
8442,2,0,19510.0,40,False,False,True,False,False,False,True,False,False,False,False
7386,1,0,30992.0,49,False,True,False,False,False,True,False,False,False,False,False
7215,0,0,101970.0,42,False,True,False,False,False,False,False,True,False,False,False
1491,0,0,71488.0,60,False,False,False,False,False,False,False,False,True,False,False
11071,0,0,79607.0,41,False,True,False,False,False,False,False,True,False,False,False
3381,1,1,54348.0,72,False,False,True,False,False,False,True,False,False,False,False
8268,0,1,,64,False,False,False,True,False,False,True,False,False,False,False
11051,1,1,77376.0,69,False,False,False,True,False,False,False,False,True,False,False
8026,0,1,62998.0,73,False,True,False,False,False,False,True,False,False,False,False
433,1,1,61331.0,67,False,False,True,False,True,False,False,False,False,False,False
9597,0,0,73448.0,56,False,True,False,False,False,False,True,False,False,False,False
1295,0,1,,62,False,True,False,False,False,False,True,False,False,False,False
5290,1,1,41551.0,61,False,False,False,True,False,False,True,False,False,False,False
1685,0,0,62981.0,58,False,False,False,True,False,False,False,False,True,False,False
5342,1,0,9548.0,49,True,False,False,False,False,True,False,False,False,False,False
9579,2,1,33762.0,66,False,False,False,True,False,False,True,False,False,False,False
7660,1,1,35860.0,52,False,False,False,True,True,False,False,False,False,False,False
1461,1,1,36921.0,60,False,False,False,True,False,True,False,False,False,False,False
821,0,0,92859.0,33,False,False,True,False,False,False,False,True,False,False,False
11084,0,1,65104.0,49,False,False,True,False,False,False,False,False,True,False,False
8690,0,0,86111.0,63,False,True,False,False,False,False,True,False,False,False,False
2937,0,1,68352.0,51,False,False,False,True,False,False,False,True,False,False,False
9701,1,0,41883.0,37,False,True,False,False,False,False,False,False,True,False,False
9949,0,2,59809.0,49,False,True,False,False,False,False,True,False,False,False,False
10837,1,0,23957.0,50,False,True,False,False,False,False,True,False,False,False,False
3120,1,0,38547.0,44,False,True,False,False,False,False,False,False,True,False,False
5885,2,1,35688.0,52,False,False,False,False,False,False,True,False,False,False,False
4050,0,0,49605.0,59,False,False,True,False,False,False,True,False,False,False,False
3830,0,2,59354.0,72,False,False,True,False,False,False,True,False,False,False,False
7987,0,1,65747.0,56,False,True,False,False,False,False,True,False,False,False,False
7798,0,1,46344.0,53,False,False,False,False,False,False,False,False,True,False,False
92,1,0,34176.0,37,False,True,False,False,True,False,False,False,False,False,False
7055,0,1,61010.0,73,False,False,False,True,False,False,False,False,True,False,False
10240,0,0,69372.0,76,False,True,False,False,False,False,False,False,True,False,False
3025,0,1,49967.0,67,False,True,False,False,False,False,False,True,False,False,False
9283,1,2,60199.0,47,False,True,False,False,False,False,False,True,False,False,False
9970,0,1,55375.0,48,False,True,False,False,False,False,False,False,True,False,False
2730,0,0,80317.0,70,False,True,False,False,False,False,False,True,False,False,False
2795,2,1,30523.0,67,False,False,True,False,False,False,False,True,False,False,False
9260,0,0,70356.0,80,False,False,False,True,False,False,True,False,False,False,False
8182,1,0,23228.0,41,False,True,False,False,False,False,True,False,False,False,False
10095,0,0,74165.0,50,False,False,False,True,False,True,False,False,False,False,False
8475,0,1,157243.0,52,False,False,False,True,False,False,True,False,False,False,False
4370,2,1,43482.0,59,False,True,False,False,False,False,False,False,True,False,False
10573,0,0,62551.0,72,False,True,False,False,False,True,False,False,False,False,False
3712,0,0,52332.0,66,False,True,False,False,False,True,False,False,False,False,False
6637,0,0,66951.0,37,False,True,False,False,False,False,False,True,False,False,False
3152,1,1,26091.0,68,False,True,False,False,False,False,False,False,True,False,False
5610,1,1,33456.0,60,False,True,False,False,False,False,False,False,True,False,False
6460,1,0,28718.0,43,False,True,False,False,False,False,True,False,False,False,False
1349,2,0,50447.0,55,False,True,False,False,False,False,True,False,False,False,False
1880,1,1,53537.0,66,False,False,False,True,False,False,False,False,True,False,False
641,0,1,52074.0,58,False,True,False,False,False,False,False,True,False,False,False
8717,0,1,80427.0,50,False,False,False,True,False,False,True,False,False,False,False
10314,0,0,83837.0,77,False,False,False,True,False,False,True,False,False,False,False
10854,1,1,38853.0,55,False,False,False,True,False,False,True,False,False,False,False
10492,2,1,38285.0,66,False,True,False,False,False,False,False,False,True,False,False
6935,0,0,78497.0,74,False,False,False,False,False,False,True,False,False,False,False
7698,0,1,51650.0,49,False,False,False,True,False,False,True,False,False,False,False
3559,1,0,16248.0,37,False,False,False,False,False,False,True,False,False,False,False
10562,0,0,66835.0,79,False,False,True,False,False,False,True,False,False,False,False
10796,1,0,30477.0,41,False,False,True,False,False,False,True,False,False,False,False
2563,0,0,28249.0,64,True,False,False,False,False,False,True,False,False,False,False
3518,1,0,25271.0,42,False,True,False,False,False,False,True,False,False,False,False
5823,0,1,32303.0,55,False,False,False,True,False,False,False,True,False,False,False
3934,0,1,61286.0,59,False,True,False,False,False,False,True,False,False,False,False
6982,0,0,74068.0,49,False,True,False,False,False,False,True,False,False,False,False
6431,1,1,45759.0,61,False,False,False,True,False,False,True,False,False,False,False
9733,1,0,24882.0,47,True,False,False,False,False,False,False,False,True,False,False
5602,0,0,66973.0,36,False,False,False,True,False,False,False,False,True,False,False
7829,1,0,36640.0,125,False,False,False,False,False,True,False,False,False,False,False
1324,1,0,38872.0,37,False,True,False,False,False,False,True,False,False,False,False
326,1,1,51148.0,52,False,True,False,False,False,False,True,False,False,False,False
7224,1,1,31353.0,48,False,True,False,False,False,False,True,False,False,False,False
6999,0,0,69661.0,45,False,False,True,False,False,False,True,False,False,False,False
9938,0,0,80067.0,71,False,True,False,False,False,False,True,False,False,False,False
6422,0,0,86718.0,71,False,True,False,False,False,False,True,False,False,False,False
3182,1,1,46854.0,52,False,False,False,True,False,False,False,True,False,False,False
7300,0,1,69142.0,73,False,True,False,False,False,True,False,False,False,False,False
10424,0,0,75922.0,57,False,True,False,False,False,False,False,True,False,False,False
8727,0,1,63693.0,47,False,True,False,False,False,True,False,False,False,False,False
2798,0,0,102160.0,48,False,False,False,True,False,False,False,False,True,False,False
1030,1,1,40637.0,60,False,False,False,True,False,False,False,True,False,False,False
624,0,0,18890.0,41,False,False,True,False,False,False,False,True,False,False,False
5176,1,0,29604.0,37,False,True,False,False,False,False,False,False,True,False,False
5552,1,1,48721.0,62,False,False,True,False,False,True,False,False,False,False,False
868,0,1,44794.0,59,False,True,False,False,False,False,True,False,False,False,False
380,0,1,64497.0,71,False,True,False,False,False,True,False,False,False,False,False
2677,0,1,46097.0,69,False,True,False,False,False,False,False,False,True,False,False
6521,0,0,77972.0,71,False,True,False,False,False,False,False,False,True,False,False
6927,1,1,44377.0,57,False,False,False,True,False,False,True,False,False,False,False
2877,1,1,46014.0,51,False,False,True,False,False,False,False,False,True,False,False
0,0,0,70951.0,40,False,True,False,False,False,False,True,False,False,False,False
1584,1,0,41443.0,48,False,True,False,False,False,False,True,False,False,False,False
7264,2,1,52195.0,47,False,False,False,False,False,False,False,True,False,False,False
6274,0,0,83790.0,77,False,False,True,False,False,False,True,False,False,False,False
1377,0,1,44551.0,71,False,False,True,False,False,False,False,False,False,True,False
454,1,0,69508.0,45,False,True,False,False,False,False,False,False,True,False,False
1755,1,0,45204.0,37,False,False,False,False,False,False,False,False,True,False,False
2075,0,0,72460.0,56,False,True,False,False,False,False,True,False,False,False,False
4785,0,2,77622.0,55,False,False,False,True,False,False,False,False,True,False,False
9076,1,0,30732.0,45,False,False,False,True,False,False,True,False,False,False,False
7079,0,1,63887.0,63,False,True,False,False,False,True,False,False,False,False,False
4653,1,0,42011.0,47,False,True,False,False,False,False,False,False,True,False,False
7375,0,1,51369.0,49,False,True,False,False,False,False,False,False,True,False,False
709,0,1,51537.0,73,False,True,False,False,False,True,False,False,False,False,False
460,0,0,79930.0,53,False,False,False,True,False,False,True,False,False,False,False
3726,1,0,34320.0,39,False,False,False,True,False,False,False,False,True,False,False
6798,1,1,37070.0,59,False,True,False,False,False,False,False,True,False,False,False
5341,0,1,81975.0,63,False,False,False,False,False,True,False,False,False,False,False
1606,1,0,38590.0,54,False,True,False,False,False,False,False,False,True,False,False
9617,0,0,15033.0,74,False,True,False,False,False,False,False,True,False,False,False
3233,0,1,62745.0,60,False,False,False,True,False,False,True,False,False,False,False
89,1,0,22212.0,50,False,False,False,False,False,False,True,False,False,False,False
2936,1,0,23661.0,43,False,False,True,False,False,False,False,False,True,False,False
9449,0,1,79761.0,67,False,False,False,True,False,False,False,True,False,False,False
7297,1,0,7500.0,52,False,True,False,False,False,False,False,True,False,False,False
11004,0,1,60182.0,132,False,False,False,False,False,False,False,True,False,False,False
313,0,0,73455.0,57,False,True,False,False,False,False,False,False,False,True,False
9940,0,1,64961.0,67,False,True,False,False,False,False,False,False,True,False,False
10735,1,0,22804.0,54,False,True,False,False,False,False,False,True,False,False,False
9529,0,0,73687.0,35,False,True,False,False,False,False,True,False,False,False,False
6439,0,1,61074.0,67,False,True,False,False,False,False,True,False,False,False,False
7411,1,1,31686.0,61,False,False,False,True,False,False,True,False,False,False,False
2176,1,0,80134.0,53,False,True,False,False,False,False,True,False,False,False,False
9265,0,1,75027.0,72,False,True,False,False,False,False,True,False,False,False,False
8867,0,0,67546.0,37,False,False,False,True,False,False,True,False,False,False,False
8932,0,1,65176.0,56,False,False,True,False,False,False,False,False,True,False,False
10236,1,0,31160.0,50,False,False,True,False,False,False,False,True,False,False,False
6340,1,0,29938.0,40,False,True,False,False,False,False,False,True,False,False,False
10089,0,0,102692.0,51,False,True,False,False,False,True,False,False,False,False,False
2227,0,0,26490.0,67,False,False,False,False,False,False,False,False,True,False,False
10992,1,1,75702.0,58,False,True,False,False,False,False,False,False,True,False,False
5304,1,0,30899.0,51,False,False,False,True,False,False,False,True,False,False,False
309,0,1,63342.0,64,False,False,False,True,False,False,False,False,True,False,False
3406,0,1,45989.0,61,False,True,False,False,False,False,False,True,False,False,False
2661,1,1,18701.0,61,False,True,False,False,False,False,False,True,False,False,False
3153,2,1,40737.0,68,False,False,False,True,False,False,False,True,False,False,False
10264,1,0,15287.0,46,False,True,False,False,False,True,False,False,False,False,False
1184,0,2,69674.0,57,False,False,False,True,False,True,False,False,False,False,False
4200,1,0,44159.0,55,False,False,True,False,False,False,True,False,False,False,False
9396,1,0,37717.0,47,False,False,False,True,False,False,True,False,False,False,False
2387,1,1,43776.0,73,False,False,True,False,False,False,False,False,True,False,False
6690,1,1,38179.0,59,False,False,True,False,False,False,True,False,False,False,False
1225,0,0,80124.0,62,False,True,False,False,False,False,True,False,False,False,False
9703,1,1,38097.0,55,False,False,False,True,False,False,True,False,False,False,False
291,0,0,72940.0,55,False,True,False,False,False,False,True,False,False,False,False
4557,1,0,22070.0,55,False,True,False,False,False,False,False,False,True,False,False
2379,0,0,69267.0,72,False,True,False,False,False,False,False,True,False,False,False
5726,1,0,31788.0,42,False,False,True,False,False,False,False,True,False,False,False
3066,0,1,61905.0,50,False,False,False,True,False,False,False,False,True,False,False
6336,1,1,29315.0,65,False,True,False,False,False,False,True,False,False,False,False
10967,1,1,33378.0,62,False,True,False,False,False,True,False,False,False,False,False
2304,0,1,66313.0,62,False,False,False,True,False,False,False,False,True,False,False
3445,0,0,60714.0,69,False,True,False,False,False,False,False,True,False,False,False
7828,0,0,77882.0,44,False,False,True,False,False,False,False,False,True,False,False
3762,0,0,69867.0,39,False,False,False,True,False,False,False,True,False,False,False
4391,0,1,63841.0,57,False,False,True,False,False,True,False,False,False,False,False
4669,1,0,24480.0,44,True,False,False,False,False,False,True,False,False,False,False
10144,0,1,51369.0,49,False,True,False,False,False,False,False,False,True,False,False
8652,0,0,37760.0,79,False,True,False,False,False,False,False,False,True,False,False
1672,0,1,65640.0,51,False,False,False,True,False,False,False,False,True,False,False
8962,1,1,44319.0,50,False,False,True,False,False,False,True,False,False,False,False
9974,1,0,30631.0,51,False,True,False,False,False,False,True,False,False,False,False
10983,0,0,75278.0,73,False,True,False,False,False,False,False,False,True,False,False
8148,1,1,50898.0,69,False,False,True,False,False,False,False,False,True,False,False
10102,0,0,79946.0,59,False,True,False,False,False,False,False,False,False,True,False
4697,0,0,35416.0,76,False,False,True,False,False,True,False,False,False,False,False
9262,0,0,32414.0,41,False,False,False,False,False,False,False,False,True,False,False
7254,1,0,38361.0,56,False,True,False,False,False,False,False,False,True,False,False
4543,0,0,82497.0,45,False,True,False,False,False,False,True,False,False,False,False
4927,2,0,16626.0,54,False,True,False,False,False,False,False,False,True,False,False
10451,1,1,29672.0,60,False,True,False,False,False,False,False,False,True,False,False
2926,0,1,55951.0,73,False,False,True,False,False,False,False,False,True,False,False
2874,1,0,35388.0,37,False,False,False,False,False,True,False,False,False,False,False
9738,1,0,42386.0,39,False,False,True,False,False,False,False,False,True,False,False
7119,0,0,68627.0,43,False,True,False,False,False,False,False,True,False,False,False
3924,0,1,57912.0,60,False,False,False,True,False,True,False,False,False,False,False
5827,1,1,35246.0,67,False,True,False,False,False,True,False,False,False,False,False
5596,0,1,58821.0,69,False,False,False,False,False,False,False,False,True,False,False
10812,1,0,46377.0,47,False,False,False,True,False,False,True,False,False,False,False
1717,1,0,39747.0,37,False,True,False,False,False,False,False,True,False,False,False
9491,1,0,23976.0,41,False,True,False,False,False,False,False,False,True,False,False
9274,0,0,80950.0,64,False,False,True,False,False,False,True,False,False,False,False
6609,0,0,27038.0,59,False,True,False,False,False,False,False,False,False,True,False
6963,0,0,77457.0,78,False,True,False,False,False,False,False,True,False,False,False
4440,0,1,64100.0,61,False,False,True,False,False,False,True,False,False,False,False
1379,0,0,42670.0,33,False,False,True,False,False,False,False,False,True,False,False
10032,1,0,12571.0,49,False,True,False,False,False,True,False,False,False,False,False
2826,2,1,22574.0,58,False,True,False,False,False,False,True,False,False,False,False
2437,0,0,,36,False,True,False,False,False,False,True,False,False,False,False
6320,0,0,70893.0,49,False,False,True,False,False,False,False,True,False,False,False
3050,1,1,54198.0,59,False,True,False,False,False,False,True,False,False,False,False
231,1,1,28839.0,69,False,False,True,False,False,False,False,False,True,False,False
2392,1,1,40321.0,53,False,True,False,False,False,False,True,False,False,False,False
9478,1,0,66503.0,40,False,True,False,False,False,False,False,True,False,False,False
113,1,1,30833.0,74,False,True,False,False,False,False,True,False,False,False,False
2863,1,2,,55,False,True,False,False,False,False,False,True,False,False,False
1802,0,1,64795.0,54,False,True,False,False,False,False,True,False,False,False,False
520,1,0,34421.0,51,False,True,False,False,False,False,True,False,False,False,False
8275,1,1,47025.0,60,False,False,False,True,False,True,False,False,False,False,False
9750,0,1,64325.0,64,False,False,False,True,False,True,False,False,False,False,False
2607,0,1,40464.0,72,False,True,False,False,False,False,False,True,False,False,False
7214,0,0,62187.0,68,False,True,False,False,False,False,True,False,False,False,False
5835,1,0,14849.0,49,False,False,False,True,False,True,False,False,False,False,False
3896,1,0,27255.0,41,False,True,False,False,False,False,True,False,False,False,False
10350,2,1,54432.0,75,False,False,False,True,False,False,True,False,False,False,False
7786,1,0,29999.0,39,False,False,False,True,False,False,False,True,False,False,False
2861,1,0,24072.0,42,False,True,False,False,False,False,False,True,False,False,False
663,0,0,33996.0,36,False,False,False,True,False,False,False,True,False,False,False
10675,0,1,66334.0,69,False,False,False,True,False,False,True,False,False,False,False
2521,1,0,35178.0,54,False,False,True,False,False,False,True,False,False,False,False
9592,1,0,22010.0,42,False,True,False,False,False,False,False,False,True,False,False
10151,0,2,62204.0,65,False,True,False,False,False,True,False,False,False,False,False
7381,0,0,75693.0,57,False,True,False,False,False,True,False,False,False,False,False
4099,1,0,30675.0,53,False,True,False,False,False,False,True,False,False,False,False
9560,0,0,83003.0,60,False,True,False,False,False,False,False,False,True,False,False
1150,0,0,83532.0,126,False,False,False,True,False,False,False,False,True,False,False
10172,0,0,68655.0,37,False,True,False,False,False,False,False,True,False,False,False
11191,0,0,41411.0,39,False,True,False,False,False,True,False,False,False,False,False
9707,0,1,55212.0,56,False,False,False,True,False,False,True,False,False,False,False
6245,0,1,59292.0,75,False,False,False,True,False,False,False,False,True,False,False
8234,1,0,27190.0,52,True,False,False,False,False,False,False,False,True,False,False
1411,0,0,82623.0,73,False,True,False,False,False,True,False,False,False,False,False
8553,1,1,44300.0,60,False,True,False,False,False,False,True,False,False,False,False
1826,0,0,84835.0,55,False,True,False,False,False,True,False,False,False,False,False
8842,1,1,30372.0,54,False,True,False,False,False,False,False,False,False,True,False
11030,1,0,33181.0,49,False,False,True,False,False,False,True,False,False,False,False
2579,0,1,71113.0,68,False,True,False,False,False,False,True,False,False,False,False
175,1,0,71952.0,39,False,True,False,False,False,False,True,False,False,False,False
9185,0,0,69759.0,59,False,False,False,True,False,False,False,True,False,False,False
11056,0,0,72099.0,51,False,True,False,False,False,False,True,False,False,False,False
