Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending
58,635,88,546,172,88,88,1617
38,11,1,6,2,1,6,27
26,426,49,127,111,21,42,776
26,11,4,20,10,3,5,53
94,173,43,118,46,27,15,422
16,520,42,98,0,42,14,716
34,235,65,164,50,49,27,590
32,76,10,56,3,1,23,169
19,14,0,24,3,3,2,46
68,28,0,6,1,1,13,49
11,5,5,6,0,2,1,19
59,6,16,11,11,1,16,61
82,194,61,480,225,112,30,1102
53,233,2,53,3,5,14,310
38,3,14,17,6,1,5,46
23,1006,22,115,59,68,45,1315
51,53,5,19,2,13,4,96
20,84,5,38,150,12,28,317
91,1012,80,498,0,16,176,1782
86,4,17,19,30,24,39,133
41,86,2,73,69,38,48,316
42,1,1,1725,1,1,1,1730
63,867,0,86,0,0,19,972
0,384,0,102,21,32,5,544
69,270,3,27,39,6,99,444
89,6,4,25,15,12,13,75
4,173,4,30,3,6,41,257
19,5,1,3,3,263,362,637
26,36,2,42,20,21,10,131
96,684,100,801,21,66,0,1672
34,8,4,10,2,2,4,30
56,112,17,44,34,22,89,318
31,110,0,5,2,0,3,120
8,96,12,96,33,22,43,302
4,482,34,471,119,68,22,1196
55,40,0,19,2,1,3,65
37,702,17,151,0,8,35,913
76,6,3,14,15,7,36,81
99,55,0,6,2,0,4,67
53,437,8,206,160,49,42,902
3,421,76,536,82,178,102,1395
88,13,1,29,3,0,7,53
4,9,0,6,3,1,3,22
80,81,11,50,3,2,39,186
19,3,1,10,3,2,12,31
72,123,164,266,227,30,174,984
24,3,18,14,15,22,50,122
92,13,6,15,3,5,13,55
96,48,5,48,6,10,7,124
39,826,50,317,50,38,38,1319
29,245,19,125,37,67,14,507
2,650,37,780,27,167,32,1693
54,12,6,20,30,1,3,72
54,510,120,550,156,40,241,1617
57,328,9,124,12,24,109,606
55,984,51,432,180,120,190,1957
30,295,35,482,121,120,40,1093
31,13,0,8,2,1,5,29
57,11,3,22,2,2,6,46
63,447,0,28,0,0,43,518
12,712,26,538,69,13,80,1438
18,452,18,102,16,18,6,612
26,523,7,134,37,14,169,884
8,546,0,48,0,6,6,606
29,398,40,367,119,122,30,1076
75,1,3,6,3,6,15,34
0,10,0,1,0,0,0,11
19,688,14,309,201,24,38,1274
4,247,49,159,7,82,109,653
90,856,59,487,58,29,73,1562
1,496,36,460,189,60,12,1253
25,25,3,43,17,4,17,109
29,258,107,291,84,37,86,863
88,565,6,65,0,6,19,661
58,14,10,13,4,15,9,65
68,2,1,6,2,1,1,13
34,721,111,925,97,18,18,1890
